sep=,
DeviceTag:,tibiaLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-17 16:46:03.544 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 191960173, -168.74032592773438, -80.91876983642578, 34.56534957885742, -0.16278477, 0.10561982, -0.018074036
2, 191976840, -168.72879028320312, -80.91939544677734, 34.55561828613281, -0.16094895, 0.12491882, -0.020165443
3, 191993507, -168.7270050048828, -80.91874694824219, 34.55774688720703, -0.13888654, 0.12564446, -0.027033806
4, 192010174, -168.73367309570312, -80.91770935058594, 34.57279586791992, -0.12210753, 0.11401418, -0.017333984
5, 192026841, -168.73992919921875, -80.91680145263672, 34.58462142944336, -0.1029594, 0.09614018, -0.013852119
6, 192043508, -168.73873901367188, -80.91563415527344, 34.587650299072266, -0.085471965, 0.05593367, -0.030175209
7, 192060175, -168.72763061523438, -80.91459655761719, 34.578819274902344, -0.06432927, 0.038741164, -0.022942543
8, 192076842, -168.70895385742188, -80.91200256347656, 34.55617904663086, -0.09007025, 0.039980434, -0.0062179565
9, 192093509, -168.6875762939453, -80.90925598144531, 34.53167724609375, -0.11718075, 0.08804846, -0.018295288
10, 192110176, -168.67495727539062, -80.90655517578125, 34.519344329833984, -0.14031456, 0.09250732, -0.008465767
11, 192126843, -168.67227172851562, -80.90497589111328, 34.520206451416016, -0.16875413, 0.06714821, -0.02577877
12, 192143510, -168.66006469726562, -80.90496063232422, 34.5127067565918, -0.15443684, 0.049995378, -0.03437996
13, 192160177, -168.64488220214844, -80.9054946899414, 34.50103759765625, -0.13452026, 0.08691715, -0.022068024
14, 192176844, -168.62745666503906, -80.90379333496094, 34.4872932434082, -0.1295109, 0.11587683, -0.03967285
15, 192193511, -168.60940551757812, -80.90228271484375, 34.47220230102539, -0.1462884, 0.11244434, -0.0170784
16, 192210178, -168.61276245117188, -80.90189361572266, 34.47834777832031, -0.13520953, 0.11020105, -0.016304016
17, 192226845, -168.63575744628906, -80.90137481689453, 34.506500244140625, -0.14868858, 0.11415388, -0.03507805
18, 192243512, -168.65357971191406, -80.90277099609375, 34.53643798828125, -0.12608014, 0.050504316, -0.025997162
19, 192260179, -168.6586151123047, -80.90411376953125, 34.54951095581055, -0.102233596, 0.043351345, -0.014811516
20, 192276846, -168.6424560546875, -80.90206146240234, 34.5369758605957, -0.08945983, 0.027752599, -0.01914215
21, 192293513, -168.61846923828125, -80.9002914428711, 34.51129150390625, -0.086462915, 0.042829774, -0.017703056
22, 192310180, -168.5926971435547, -80.9002914428711, 34.482025146484375, -0.113040894, 0.07925032, -0.010224342
23, 192326847, -168.57850646972656, -80.8996810913086, 34.46754455566406, -0.1323595, 0.09791544, -0.0323143
24, 192343514, -168.5599365234375, -80.90070343017578, 34.453285217285156, -0.13238935, 0.087658316, -0.021077156
25, 192360181, -168.5366668701172, -80.8991470336914, 34.4366340637207, -0.109595165, 0.07437394, -0.012308121
26, 192376848, -168.4983673095703, -80.89834594726562, 34.4037971496582, -0.08963887, 0.060671363, -0.01636219
27, 192393515, -168.46621704101562, -80.89614868164062, 34.36954116821289, -0.10313659, 0.07316417, -0.0244627
28, 192410182, -168.44790649414062, -80.89485168457031, 34.3468132019043, -0.12506332, 0.10421303, -0.0065870285
29, 192426849, -168.4385528564453, -80.89199829101562, 34.335845947265625, -0.14564322, 0.10470967, -0.018838882
30, 192443516, -168.4337921142578, -80.8917007446289, 34.3348388671875, -0.1446953, 0.10586993, -0.048030853
31, 192460183, -168.42666625976562, -80.89134979248047, 34.33331298828125, -0.16743372, 0.060334083, -0.03422737
32, 192476850, -168.4226837158203, -80.8924789428711, 34.33381652832031, -0.17654662, 0.07170016, -0.030133247
33, 192493517, -168.42356872558594, -80.89263153076172, 34.34335708618164, -0.13248406, 0.11300871, -2.0503998E-4
34, 192510184, -168.42152404785156, -80.89273834228516, 34.35603713989258, -0.10246672, 0.08905974, -8.802414E-4
35, 192526851, -168.39903259277344, -80.8914794921875, 34.34524154663086, -0.08776169, 0.033574328, -0.023098946
36, 192543518, -168.3778533935547, -80.89140319824219, 34.330810546875, -0.08571426, 0.02403513, -0.021603584
37, 192560185, -168.3520965576172, -80.89199829101562, 34.308982849121094, -0.058425896, 0.0075346217, -0.013401985
38, 192576852, -168.32443237304688, -80.89066314697266, 34.265899658203125, -0.037631534, 0.023935108, -0.014054298
39, 192593519, -168.29171752929688, -80.88803100585938, 34.22355651855469, -0.080149285, 0.046608374, -0.023088455
40, 192610186, -168.26023864746094, -80.88468933105469, 34.17204284667969, -0.14049226, 0.11301575, -0.012374878
41, 192626853, -168.24085998535156, -80.88327026367188, 34.14168167114258, -0.16784325, 0.119080104, -0.031437874
42, 192643520, -168.2283477783203, -80.8817367553711, 34.1252326965332, -0.15546907, 0.10693832, -0.024119377
43, 192660187, -168.2178955078125, -80.87872314453125, 34.10986328125, -0.1306317, 0.09911324, -0.02527523
44, 192676854, -168.20657348632812, -80.87665557861328, 34.089637756347656, -0.12805638, 0.09830927, -0.018343925
45, 192693521, -168.2073974609375, -80.87428283691406, 34.09370040893555, -0.15532088, 0.089786716, -0.01999569
46, 192710188, -168.21669006347656, -80.87432861328125, 34.10353469848633, -0.1240712, 0.055583537, -0.028660774
47, 192726855, -168.21316528320312, -80.87364196777344, 34.11775207519531, -0.083241194, 0.016525207, -0.028113365
48, 192743522, -168.1979522705078, -80.87340545654297, 34.10952377319336, -0.063828535, 0.0019271288, -0.009302139
49, 192760189, -168.16612243652344, -80.87290954589844, 34.07899856567383, -0.06780048, 0.014561757, -0.004594803
50, 192776856, -168.12754821777344, -80.87299346923828, 34.04182815551758, -0.06656288, 0.030825678, -0.033578873
51, 192793523, -168.08743286132812, -80.87284088134766, 34.00080490112305, -0.064817525, 0.03847608, -0.010890007
52, 192810190, -168.0417938232422, -80.87213134765625, 33.95198440551758, -0.08453813, 0.07401006, -0.02306652
53, 192826857, -167.99697875976562, -80.87086486816406, 33.90285110473633, -0.12200528, 0.08987635, -0.017745972
54, 192843524, -167.9528350830078, -80.86851501464844, 33.86076354980469, -0.1264129, 0.117121235, -0.022880554
